"Receipt","Academic Director - Life Sciences","Academic Director - Humanities","Academic Director - Computer Science","Academic Director - Mathematical and Physical Sciences","Academic Director - Rotman Commerce","Academic Director - Social Sciences","Division I Director, Woodsworth College","Division I Director, University College","Division I Director, Victoria University in the University of Toronto","President","Vice-President, Campus Life","Vice-President, Equity","Vice-President, External","Vice-President, Internal and Services","Vice-President, Professional Faculties","Vice-President, University Affairs","Director - Architecture","Director - Dentistry","Director - Engineering and Applied Sciences","Director - Medicine","Director, Nursing","Director - Pharmacy","Director - Professional Faculty At-Large","Director - Theology","Referendum Question 1","Referendum Question 2"
"8KQ4","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","Charlotte Mengxi Shen","Abstain","","","","","","","Abstain","","Yes","Abstain"
"8M35","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","",""
"8M3G","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","","","","","","Yes","Abstain","","No","No"
"8M6S","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","",""
"8M8T","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast","Mathias Memmel, Carina Zhang","Abstain","Abstain","Marienka Bishop-Kovac","","","","","","Abstain","","Yes","Yes"
"8MDR","","","","Yes","","","","","","Jasmine Wong Denike, Madina Siddiqui","Abstain","Abstain","Lucinda Jing Qu, Andre Fast","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","Yes"
"8MG7","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","Ryan Gomes, Charlotte Mengxi Shen","Abstain","","","Addy Bhatia, Andrew Sweeny, Danja Papajani","","","","Faizan Akbani, Sophia Wang","","Abstain","Abstain"
"8MQR","","","","","","","","","","Abstain","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Abstain","Abstain","Abstain","Abstain","Abstain","","","Abstain","","","","Abstain","","No","No"
"8NG6","","","No","","","","","","","Jasmine Wong Denike","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Abstain","Abstain","Abstain","","Shawn Williams, Andy Edem","","","","","","","","","No","No"
"8NN3","","Abstain","","","Yes","","","","Abstain","Jasmine Wong Denike","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Yes","No"
"8NPK","Yes","","","","","","","Ryan Hume, Chimwemwe Alao, Mira El Hussein, Kshemani Constantinescu","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","No","Abstain"
"8NQC","","","Yes","","","","","","Stephanie Spagnuolo, Garnet Lollar","Madina Siddiqui, Jasmine Wong Denike","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","No","No"
"8NW9","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Mathias Memmel, Carina Zhang","Abstain","Abstain","","","","","","","Sophia Wang, Faizan Akbani","","Abstain","Abstain"
"8NX8","","","","","Abstain","","Abstain","","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","Abstain","No"
"8PGR","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Abstain","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Carina Zhang","Charlotte Mengxi Shen, Ryan Gomes","Shawn Williams, Andy Edem","","","Danja Papajani, Andrew Sweeny, Addy Bhatia","","","","Sophia Wang","","Abstain","No"
"8PM7","Yes","","","Abstain","","","","","Abstain","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Yes","Yes"
"8PSH","","","Yes","","","Yes","","","","Madina Siddiqui","Alessia Rodriguez, Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","No","Abstain"
"8PXH","","","","","Abstain","","","Ryan Hume, Chimwemwe Alao, Mira El Hussein, Kshemani Constantinescu","","Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","No"
"8Q8X","","","","","","Yes","Sebastian Salomon, Ahmad Ilyas, Ifrah Farah, Christina Badiola","","","Madina Siddiqui, Jasmine Wong Denike","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Malkeet Sandhu, Farah Noori","Lucinda Jing Qu, Andre Fast","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","No","No"
"8QWJ","","","","","","","","","","Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez","Farah Noori","Lucinda Jing Qu","Mathias Memmel","Ryan Gomes","Shawn Williams","","","Addy Bhatia, Andrew Sweeny, Danja Papajani","","","","Abstain","","No","No"
"8R2T","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Abstain","Abstain","Lucinda Jing Qu","Carina Zhang, Mathias Memmel","Ryan Gomes, Charlotte Mengxi Shen","Abstain","","","Abstain","","","","Sophia Wang","","No","Abstain"
"8R39","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","",""
"8R49","","","","","","","","","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","Ryan Gomes","Shawn Williams","Veronika Potylitsina","","","","","","Faizan Akbani, Sophia Wang","","Yes","Yes"
"8R8H","","Yes","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez","Abstain","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Yes"
"8RB6","","","","","","Yes","","","","Abstain","Alessia Rodriguez","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"8RB7","","","","","","Yes","","Kshemani Constantinescu, Mira El Hussein, Ryan Hume","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","Yes"
"8RD5","Abstain","Abstain","","","","","Abstain","","","Abstain","Shahin Imtiaz","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","No","No"
"8RGZ","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","","","Abstain","","","","Faizan Akbani","","Abstain","Abstain"
"8RRK","","Abstain","","","","","","","","Abstain","Lera Nwineh","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"8S2N","","Yes","","","","","","","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","Yes"
"8S5F","","","","","","","","","","Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Mathias Memmel","Ryan Gomes","Shawn Williams","","","","","","","Sophia Wang","","Yes","Yes"
"8S8G","","","","Abstain","","","","Abstain","","Abstain","Abstain","Abstain","Lucinda Jing Qu, Andre Fast","Carina Zhang, Mathias Memmel","","Abstain","","","","","","","","","Abstain","Yes"
"8SDV","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Abstain","Abstain","Abstain","Abstain","Abstain","Shawn Williams","Marienka Bishop-Kovac, Veronika Potylitsina","","","","","","Abstain","","Yes","Abstain"
"8SH6","","No","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Abstain","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Yes","Abstain"
"8SJF","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","Ryan Gomes, Charlotte Mengxi Shen","Shawn Williams, Andy Edem","","","","","","Yes","Abstain","","Yes","No"
"8SKC","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","","","","","Yes","","Abstain","","Abstain","Yes"
"8SX2","","Yes","","","","","","Kshemani Constantinescu","","Jasmine Wong Denike","Lera Nwineh","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Abstain","Yes"
"8T4S","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","Ryan Gomes, Charlotte Mengxi Shen","Shawn Williams, Andy Edem","","","Andrew Sweeny, Addy Bhatia, Danja Papajani","","","","Sophia Wang, Faizan Akbani","","No","No"
"8TDS","","","","","","","","","","Madina Siddiqui","Abstain","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","",""
"8TGJ","","Yes","","","","","","","Garnet Lollar, Stephanie Spagnuolo","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Abstain","Abstain"
"8TJY","Yes","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","No"
"8TMJ","","","","","Yes","","","","","Madina Siddiqui, Jasmine Wong Denike","Abstain","Abstain","Abstain","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","No","No"
"8TX2","","","","","","","","","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","Ryan Gomes, Charlotte Mengxi Shen","Abstain","","","Abstain","","","","Faizan Akbani","","Yes","Yes"
"8TXY","Yes","","","Yes","","","","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Abstain","Abstain"
"8TYX","","Abstain","","","","","Abstain","","","Abstain","Abstain","Abstain","Abstain","Abstain","","Andy Edem","","","","","","","","","Yes","Yes"
"8VCS","","Abstain","","","","Abstain","","","Stephanie Spagnuolo, Garnet Lollar","Abstain","Abstain","Abstain","Lucinda Jing Qu, Andre Fast","Abstain","","Abstain","","","","","","","","","Abstain","No"
"8VG7","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","",""
"8VJS","","","","","","","","","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","Ryan Gomes","Shawn Williams","","","Andrew Sweeny, Danja Papajani, Addy Bhatia","","","","Faizan Akbani","","No","Yes"
"8VQH","","","","","Yes","","","Abstain","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","Abstain","No"
"8VSQ","","Yes","","","","","Abstain","","","Abstain","Abstain","Farah Noori, Malkeet Sandhu","Abstain","Abstain","","Shawn Williams, Andy Edem","","","","","","","","","Abstain","Yes"
"8VWW","","","","","","","","","","Madina Siddiqui","Alessia Rodriguez","Farah Noori","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","",""
"8W8D","Yes","","","","","","","Ryan Hume, Kshemani Constantinescu, Mira El Hussein, Chimwemwe Alao","","Jasmine Wong Denike","Alessia Rodriguez, Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","Yes"
"8WCT","Yes","","","Abstain","","","","","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","No"
"8WFQ","","","","","Abstain","","","","","Abstain","Alessia Rodriguez","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"8WHC","Yes","","","","","","Sebastian Salomon, Christina Badiola, Ahmad Ilyas, Ifrah Farah","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Yes","Yes"
"8WHF","","Yes","","","","Yes","Ahmad Ilyas, Christina Badiola, Ifrah Farah","","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","Yes"
"8WHM","","Yes","","","","Abstain","","Ryan Hume, Chimwemwe Alao, Mira El Hussein","","Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Yes"
"8WW8","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","",""
"8X4Y","Abstain","","","Abstain","","Abstain","Christina Badiola, Ahmad Ilyas, Sebastian Salomon, Ifrah Farah","","","Abstain","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","No"
"8X52","","","","","","Abstain","Abstain","","","Abstain","Alessia Rodriguez","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Yes","No"
"8X7N","","","","","","No","","Abstain","","Abstain","Alessia Rodriguez","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Yes","Abstain"
"8X86","Abstain","","","","","","","","","Abstain","Alessia Rodriguez","Abstain","Abstain","Abstain","","Andy Edem","","","","","","","","","Abstain","Abstain"
"8XGG","","","","Abstain","Abstain","Abstain","","","","Madina Siddiqui","Alessia Rodriguez","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","Abstain","Abstain"
"8Y3C","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Abstain","Ryan Gomes, Charlotte Mengxi Shen","Andy Edem, Shawn Williams","","","Abstain","","","","Sophia Wang, Faizan Akbani","","No","No"
"8YB5","","","","","","","","","","Madina Siddiqui","Shahin Imtiaz","Farah Noori","Abstain","Mathias Memmel","Charlotte Mengxi Shen","Shawn Williams","","","","","","","Faizan Akbani","","No","No"
"8YBY","","","","Yes","","Abstain","","","","Abstain","Abstain","Abstain","Lucinda Jing Qu","Carina Zhang","","Abstain","","","","","","","","","Yes","Abstain"
"8YPK","","Yes","","","","Yes","","","","Abstain","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Abstain","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Abstain","","","","","","","","","Yes","Yes"
"8YRS","","","","","","No","Abstain","","","Jasmine Wong Denike, Madina Siddiqui","Abstain","Abstain","Lucinda Jing Qu, Andre Fast","Carina Zhang, Mathias Memmel","","Abstain","","","","","","","","","Yes","Yes"
"8YZZ","","","","","Yes","","","Abstain","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","Yes"
"8Z27","","Abstain","","","","Abstain","","Chimwemwe Alao","","Jasmine Wong Denike","Abstain","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"8Z7P","","","","","","Abstain","","","","Abstain","Abstain","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"8ZD5","","Yes","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Yes"
"8ZSD","","","Yes","Yes","","","","Mira El Hussein, Chimwemwe Alao, Ryan Hume, Kshemani Constantinescu","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","Yes"
"8ZV4","","","","","","","","","","Jasmine Wong Denike","Lera Nwineh","Abstain","Abstain","Abstain","","Andy Edem","","","","","","","","","",""
"8ZVN","","Yes","","","","Yes","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Yes"
"8ZYD","Abstain","","","","","Abstain","","Ryan Hume, Kshemani Constantinescu, Chimwemwe Alao, Mira El Hussein","","Abstain","Abstain","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","No"
"8ZZ3","","","","","Yes","Yes","Abstain","","","Abstain","Abstain","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","No"
"923M","","Yes","","","","Abstain","","","Abstain","Jasmine Wong Denike","Abstain","Abstain","Abstain","Abstain","","Shawn Williams","","","","","","","","","No","No"
"923P","Abstain","","Yes","Abstain","","","","","","Jasmine Wong Denike","Abstain","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"924Q","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Abstain","Abstain","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","Abstain","Abstain","","","Addy Bhatia, Danja Papajani","","","","Faizan Akbani, Sophia Wang","","Abstain","Abstain"
"9268","","Yes","","","","Yes","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Yes"
"9289","Abstain","","","","","","","Abstain","","Madina Siddiqui","Abstain","Malkeet Sandhu, Farah Noori","Andre Fast","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"929Z","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Abstain","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","",""
"92BT","","","","","","","","","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","",""
"92DM","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","Charlotte Mengxi Shen, Ryan Gomes","Andy Edem, Shawn Williams","","","Danja Papajani, Andrew Sweeny, Addy Bhatia","","","","Sophia Wang, Faizan Akbani","","No","No"
"92DS","","","","","","Yes","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","No","Abstain"
"92F3","","","","","Yes","","","Abstain","","Abstain","Shahin Imtiaz","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"92F9","","No","","","","","","Abstain","","Jasmine Wong Denike","Abstain","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","No","No"
"92KT","Abstain","","","","","","Abstain","","","Abstain","Abstain","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"92SW","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Abstain","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","Ryan Gomes, Charlotte Mengxi Shen","Shawn Williams, Andy Edem","","","Andrew Sweeny, Danja Papajani, Addy Bhatia","","","","Faizan Akbani, Sophia Wang","","Yes","No"
"92V3","","","Abstain","Abstain","","","","Ryan Hume, Mira El Hussein","","Jasmine Wong Denike","Alessia Rodriguez, Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Abstain","Yes"
"92YW","","","","","","Abstain","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","No"
"939D","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","Charlotte Mengxi Shen, Ryan Gomes","Andy Edem, Shawn Williams","","","","","","","Sophia Wang","","No","No"
"93DJ","","","","","","","","","","Abstain","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","No"
"93FK","","","","","","","Sebastian Salomon, Christina Badiola, Ahmad Ilyas, Ifrah Farah","","","Abstain","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Abstain","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","No"
"93W4","","","","","","","","","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","Ryan Gomes","Shawn Williams","","","Addy Bhatia","","","","Sophia Wang","","Yes","No"
"93W9","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","","","","","Yes","","Abstain","","Abstain","Abstain"
"93XG","","Yes","","","","Yes","","","","Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Abstain","","","","","","","","","No","No"
"942Y","","Abstain","","","","","","Mira El Hussein, Ryan Hume, Chimwemwe Alao, Kshemani Constantinescu","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Abstain","Yes"
"948M","Yes","Yes","","","","Yes","","","Garnet Lollar, Stephanie Spagnuolo","Jasmine Wong Denike","Alessia Rodriguez, Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","Yes"
"94G9","","Abstain","","Abstain","","","","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang, Mathias Memmel","","Abstain","","","","","","","","","Abstain","Abstain"
"94W2","","","","","","","","","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","",""
"94WW","","","","","","Abstain","","Abstain","","Abstain","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Abstain","Abstain"
"959R","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","",""
"95DD","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","Ryan Gomes, Charlotte Mengxi Shen","Abstain","","","Abstain","","","","Abstain","","Abstain","No"
"95F4","","","","","","Yes","","","Garnet Lollar, Stephanie Spagnuolo","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","Yes"
"95JR","","Abstain","","","","Abstain","","","Abstain","Madina Siddiqui","Lera Nwineh","Abstain","Abstain","Carina Zhang","","Andy Edem","","","","","","","","","Abstain","Abstain"
"95RF","","Abstain","","","","Yes","","","","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","No","No"
"95WD","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","Ryan Gomes, Charlotte Mengxi Shen","Shawn Williams, Andy Edem","","","Addy Bhatia, Danja Papajani, Andrew Sweeny","","","","Sophia Wang, Faizan Akbani","","Yes","Yes"
"95Y7","","","","","","","","","","Abstain","Abstain","Abstain","Lucinda Jing Qu","Mathias Memmel","Abstain","Abstain","","","","","","","Sophia Wang","","Yes","Abstain"
"95ZH","Abstain","","","","","Abstain","Ahmad Ilyas","","","Jasmine Wong Denike, Madina Siddiqui","Lera Nwineh","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","No","No"
"967T","","","","","","Yes","","","","Madina Siddiqui","Lera Nwineh, Alessia Rodriguez","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","Yes","Yes"
"96SZ","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","",""
