"Receipt","Academic Director - Life Sciences","Academic Director - Humanities","Academic Director - Computer Science","Academic Director - Mathematical and Physical Sciences","Academic Director - Rotman Commerce","Academic Director - Social Sciences","Division I Director, Woodsworth College","Division I Director, University College","Division I Director, Victoria University in the University of Toronto","President","Vice-President, Campus Life","Vice-President, Equity","Vice-President, External","Vice-President, Internal and Services","Vice-President, Professional Faculties","Vice-President, University Affairs","Director - Architecture","Director - Dentistry","Director - Engineering and Applied Sciences","Director - Medicine","Director, Nursing","Director - Pharmacy","Director - Professional Faculty At-Large","Director - Theology","Referendum Question 1","Referendum Question 2"
"YC9B","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","Charlotte Mengxi Shen, Ryan Gomes","Andy Edem, Shawn Williams","","","","","","","Sophia Wang, Faizan Akbani","","Yes","No"
"YCG4","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Lucinda Jing Qu","Abstain","","Abstain","","","","","","","","","Yes","No"
"YCKJ","","","","","Yes","","Ifrah Farah, Christina Badiola, Ahmad Ilyas, Sebastian Salomon","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","No","Yes"
"YCQ8","","","","","","Yes","","Chimwemwe Alao, Ryan Hume","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Abstain"
"YCZ3","","Yes","","","","Yes","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Mathias Memmel","","Abstain","","","","","","","","","Yes","Yes"
"YD25","","Abstain","","","","","Ifrah Farah, Ahmad Ilyas, Sebastian Salomon, Christina Badiola","","","Madina Siddiqui, Jasmine Wong Denike","Abstain","Farah Noori, Malkeet Sandhu","Abstain","Mathias Memmel, Carina Zhang","","Andy Edem, Shawn Williams","","","","","","","","","No","No"
"YD3K","No","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","No","No"
"YD4C","","Abstain","","Abstain","","","","","Abstain","Abstain","Abstain","Abstain","Lucinda Jing Qu","Carina Zhang","","Abstain","","","","","","","","","Abstain","Abstain"
"YD5K","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Malkeet Sandhu, Farah Noori","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","",""
"YD7D","","Abstain","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","No","No"
"YDF8","","Yes","","","","Yes","","","","Abstain","Abstain","Abstain","Lucinda Jing Qu, Andre Fast","Carina Zhang, Mathias Memmel","","Abstain","","","","","","","","","Yes","Yes"
"YDVK","","","Yes","Yes","","","Christina Badiola, Sebastian Salomon, Ahmad Ilyas, Ifrah Farah","","","Jasmine Wong Denike","Alessia Rodriguez, Shahin Imtiaz","Malkeet Sandhu","Andre Fast","Carina Zhang, Mathias Memmel","","Andy Edem","","","","","","","","","No","No"
